Model: SAM2
  miou
    Base|sev0: mean=0.8440 (n=4952)
    Translation(+4)|sev1: mean=0.8447 (n=4952)
    Translation(-4)|sev1: mean=0.8452 (n=4952)
    PadCrop(+4)|sev1: mean=0.8453 (n=4952)
    PadCrop(-4)|sev1: mean=0.8465 (n=4952)
    Scale(0.95)|sev1: mean=0.8428 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.8443 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.8446 (n=4952)
    Rotation(+10)|sev1: mean=0.5865 (n=4952)
    Rotation(-10)|sev1: mean=0.6045 (n=4952)
    TextOverlay|sev1: mean=0.8373 (n=4952)
    BoxOverlay|sev1: mean=0.7506 (n=4952)
    RandomText|sev1: mean=0.8312 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.8392 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.7688 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.8439 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.8438 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.8439 (n=4952)
    Translation(+8)|sev2: mean=0.8446 (n=4952)
    Translation(-8)|sev2: mean=0.8448 (n=4952)
    PadCrop(+8)|sev2: mean=0.8443 (n=4952)
    PadCrop(-8)|sev2: mean=0.8464 (n=4952)
    Scale(0.90)|sev2: mean=0.8429 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.8440 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.8448 (n=4952)
    Rotation(+20)|sev2: mean=0.3886 (n=4952)
    Rotation(-20)|sev2: mean=0.4113 (n=4952)
    TextOverlay|sev2: mean=0.8357 (n=4952)
    BoxOverlay|sev2: mean=0.6937 (n=4952)
    RandomText|sev2: mean=0.8265 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.8454 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.7513 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.8436 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.8436 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.8438 (n=4952)
    Translation(+12)|sev3: mean=0.8440 (n=4952)
    Translation(-12)|sev3: mean=0.8453 (n=4952)
    PadCrop(+12)|sev3: mean=0.8449 (n=4952)
    PadCrop(-12)|sev3: mean=0.8463 (n=4952)
    Scale(0.85)|sev3: mean=0.8429 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.8434 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.8445 (n=4952)
    Rotation(+30)|sev3: mean=0.2782 (n=4952)
    Rotation(-30)|sev3: mean=0.2972 (n=4952)
    TextOverlay|sev3: mean=0.8306 (n=4952)
    BoxOverlay|sev3: mean=0.6586 (n=4952)
    RandomText|sev3: mean=0.8184 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.8457 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.7093 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.8433 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.8431 (n=4952)
    AllBandNoise(0.38)|sev3: mean=0.8429 (n=4952)
  boundary_f
    Base|sev0: mean=0.6086 (n=4952)
    Translation(+4)|sev1: mean=0.6119 (n=4952)
    Translation(-4)|sev1: mean=0.6147 (n=4952)
    PadCrop(+4)|sev1: mean=0.6145 (n=4952)
    PadCrop(-4)|sev1: mean=0.6257 (n=4952)
    Scale(0.95)|sev1: mean=0.6209 (n=4952)
    ScalePadBlack(0.95)|sev1: mean=0.6259 (n=4952)
    ScalePadWhite(0.95)|sev1: mean=0.6244 (n=4952)
    Rotation(+10)|sev1: mean=0.3770 (n=4952)
    Rotation(-10)|sev1: mean=0.3875 (n=4952)
    TextOverlay|sev1: mean=0.5987 (n=4952)
    BoxOverlay|sev1: mean=0.5104 (n=4952)
    RandomText|sev1: mean=0.5912 (n=4952)
    LowPassKeep(0.18)|sev1: mean=0.5894 (n=4952)
    HighPassKeep(0.18)|sev1: mean=0.4413 (n=4952)
    LowBandNoise(0.18)|sev1: mean=0.6080 (n=4952)
    HighBandNoise(0.18)|sev1: mean=0.6075 (n=4952)
    AllBandNoise(0.18)|sev1: mean=0.6076 (n=4952)
    Translation(+8)|sev2: mean=0.6119 (n=4952)
    Translation(-8)|sev2: mean=0.6136 (n=4952)
    PadCrop(+8)|sev2: mean=0.6133 (n=4952)
    PadCrop(-8)|sev2: mean=0.6327 (n=4952)
    Scale(0.90)|sev2: mean=0.6352 (n=4952)
    ScalePadBlack(0.90)|sev2: mean=0.6370 (n=4952)
    ScalePadWhite(0.90)|sev2: mean=0.6352 (n=4952)
    Rotation(+20)|sev2: mean=0.2389 (n=4952)
    Rotation(-20)|sev2: mean=0.2514 (n=4952)
    TextOverlay|sev2: mean=0.5961 (n=4952)
    BoxOverlay|sev2: mean=0.4644 (n=4952)
    RandomText|sev2: mean=0.5852 (n=4952)
    LowPassKeep(0.28)|sev2: mean=0.6073 (n=4952)
    HighPassKeep(0.28)|sev2: mean=0.4020 (n=4952)
    LowBandNoise(0.28)|sev2: mean=0.6070 (n=4952)
    HighBandNoise(0.28)|sev2: mean=0.6064 (n=4952)
    AllBandNoise(0.28)|sev2: mean=0.6064 (n=4952)
    Translation(+12)|sev3: mean=0.6115 (n=4952)
    Translation(-12)|sev3: mean=0.6146 (n=4952)
    PadCrop(+12)|sev3: mean=0.6126 (n=4952)
    PadCrop(-12)|sev3: mean=0.6357 (n=4952)
    Scale(0.85)|sev3: mean=0.6516 (n=4952)
    ScalePadBlack(0.85)|sev3: mean=0.6539 (n=4952)
    ScalePadWhite(0.85)|sev3: mean=0.6515 (n=4952)
    Rotation(+30)|sev3: mean=0.1740 (n=4952)
    Rotation(-30)|sev3: mean=0.1821 (n=4952)
    TextOverlay|sev3: mean=0.5910 (n=4952)
    BoxOverlay|sev3: mean=0.4174 (n=4952)
    RandomText|sev3: mean=0.5767 (n=4952)
    LowPassKeep(0.38)|sev3: mean=0.6105 (n=4952)
    HighPassKeep(0.38)|sev3: mean=0.3272 (n=4952)
    LowBandNoise(0.38)|sev3: mean=0.6059 (n=4952)
    HighBandNoise(0.38)|sev3: mean=0.6054 (n=4952)
    AllBandNoise(0.38)|sev3: mean=0.6049 (n=4952)
  fragmentation
